no_colname	no_colname	no_colname	no_colname	no_colname	no_colname
HOG2180.fa	WP_000477156.1	1.15e-10	fig|470.5054.peg.1893|BQ1898_02622|	Type IV fimbrial biogenesis protein FimT   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG218.fa	WP_046813611.1	1.60e-05	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2194.fa	WP_000489713.1	2.09e-23	fig|470.10130.peg.7336|	Putative signal transducer   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG219.fa	WP_000190710.1	2.66e-24	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2202.fa	WP_000457358.1	6.46e-04	fig|470.9259.peg.2007|	Bactoprenol-linked glucose translocase   [Acinetobacter baumannii strain aba45acb | 470.9259]	VFDB
HOG220.fa	WP_000432325.1	6.25e-22	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2219.fa	WP_000505931.1	0.0	fig|470.5054.peg.669|BQ1898_05296|	twitching motility protein PilJ   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG221.fa	WP_001019900.1	2.13e-26	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG222.fa	WP_000365670.1	1.20e-15	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG223.fa	WP_031983534.1	5.94e-06	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG224.fa	WP_061874396.1	1.11e-10	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG225.fa	WP_000121945.1	9.93e-17	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG226.fa	WP_005062172.1	2.33e-14	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2270.fa	WP_000537691.1	9.72e-32	fig|470.5054.peg.5202|BQ1898_04478|	Type IV pilus biogenesis protein PilF   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG227.fa	WP_000880601.1	6.54e-21	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2280.fa	WP_004998642.1	4.14e-10	fig|1523424.3.peg.3451|IP80_05280|	Transcriptional regulator of acrAB operon, AcrR   [beta proteobacterium AAP65 | 1523424.3]	PATRIC
HOG2281.fa	WP_067726210.1	1.29e-07	fig|1349789.5.peg.2072|	Transcriptional repressor of CmeABC operon, CmeR   [Sulfurospirillum arsenophilum NBRC 109478 | 1349789.5]	PATRIC
HOG2282.fa	WP_031948459.1	4.22e-11	fig|273121.8.peg.724|WS0767|VBIWolSuc63014_0724|	Transcriptional repressor of CmeABC operon, CmeR   [Wolinella succinogenes DSM 1740 | 273121.8]	PATRIC
HOG2283.fa	WP_004790547.1	6.02e-10	fig|1349788.5.peg.336|	Transcriptional repressor of CmeABC operon, CmeR   [Sulfurospirillum cavolei NBRC 109482 | 1349788.5]	PATRIC
HOG2284.fa	WP_001195320.1	2.64e-15	fig|1548151.3.peg.1028|LS70_01330|	Transcriptional repressor of CmeABC operon, CmeR   [Helicobacter sp. MIT 11-5569 | 1548151.3]	PATRIC
HOG2285.fa	WP_000543877.1	2.41e-19	fig|360107.7.peg.548|CHAB381_0566|VBICamHom81367_0548|	Transcriptional repressor of CmeABC operon, CmeR   [Campylobacter hominis ATCC BAA-381 | 360107.7]	PATRIC
HOG2286.fa	WP_001278399.1	5.01e-19	fig|273121.8.peg.724|WS0767|VBIWolSuc63014_0724|	Transcriptional repressor of CmeABC operon, CmeR   [Wolinella succinogenes DSM 1740 | 273121.8]	PATRIC
HOG2289.fa	WP_000546629.1	7.72e-09	fig|470.5054.peg.1891|BQ1898_02620|	Type IV fimbrial biogenesis protein PilV   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG228.fa	WP_000872847.1	7.36e-11	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2298.fa	WP_000547772.1	0.004	fig|470.6998.peg.454|	Capsular polysaccharide synthesis enzyme Cap8N   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG229.fa	WP_000207243.1	2.42e-04	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG230.fa	WP_089605686.1	2.02e-28	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2314.fa	WP_000550787.1	1.15e-09	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG231.fa	WP_000024374.1	1.29e-22	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2328.fa	WP_000556919.1	2.22e-113	fig|470.5054.peg.1482|BQ1898_06148|	T6SS component TssM (IcmF/VasK)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG232.fa	WP_001024688.1	6.94e-23	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG233.fa	WP_000815907.1	1.80e-14	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2347.fa	WP_000568820.1	2.44e-60	fig|470.5054.peg.3261|BQ1898_01306|	T6SS component TssF (ImpG/VasA)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG234.fa	WP_000009975.1	1.45e-20	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG235.fa	WP_001257946.1	9.95e-55	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2369.fa	WP_000957990.1	7.29e-06	fig|470.7100.peg.4213|	Tyrosine-protein kinase EpsD (EC 2.7.10.2) / Capsular polysaccharide synthesis enzyme Cap5B   [Acinetobacter baumannii strain MRSN7591 | 470.7100]	VFDB
HOG236.fa	WP_001027017.1	1.47e-17	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2379.fa	WP_000590088.1	2.23e-06	fig|360106.6.peg.123|CFF8240_0120|VBICamFet25865_0123|	Transcriptional repressor of CmeABC operon, CmeR   [Campylobacter fetus subsp. fetus 82-40 | 360106.6]	PATRIC
HOG237.fa	WP_000049718.1	1.71e-08	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG238.fa	WP_000163857.1	5.80e-20	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2393.fa	WP_081400006.1	2.12e-37	fig|470.7268.peg.5072|	Outer membrane usher protein FimD   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2395.fa	WP_001124962.1	8.01e-92	fig|470.7268.peg.7484|	Outer membrane usher protein FimD   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2397.fa	WP_000604788.1	2.55e-09	fig|470.6998.peg.454|	Capsular polysaccharide synthesis enzyme Cap8N   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG239.fa	WP_000238432.1	5.08e-29	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2404.fa	WP_000608735.1	2.37e-23	fig|470.3453.peg.3429|CAT54_11265|	Integron integrase IntI1   [Acinetobacter baumannii strain ARLG1840 | 470.3453]	VFDB
HOG240.fa	WP_005009570.1	1.63e-53	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2418.fa	WP_000614025.1	2.35e-25	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG241.fa	WP_004717686.1	7.30e-20	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG242.fa	WP_067671854.1	4.15e-24	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2434.fa	WP_000625253.1	1.60e-48	fig|1278298.3.peg.928|VBIActSla277899_0928|	Two component system response regulator MtrA   [Actinomyces slackii ATCC 49928 | 1278298.3]	PATRIC
HOG243.fa	WP_004780050.1	1.35e-12	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2449.fa	WP_000632985.1	7.73e-131	fig|470.5054.peg.7751|BQ1898_00606|	Phospholipase C (EC 3.1.4.3) => hemolytic PlcH   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG244.fa	WP_068887755.1	4.20e-30	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2454.fa	WP_000633799.1	3.73e-15	fig|470.5054.peg.671|BQ1898_05298|	twitching motility protein PilH   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG245.fa	WP_092690078.1	6.13e-16	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG246.fa	WP_010326711.1	3.24e-28	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG247.fa	WP_058971971.1	2.65e-20	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2484.fa	WP_000646456.1	1.72e-06	fig|470.7167.peg.3837|	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)   [Acinetobacter baumannii strain MRSN7707 | 470.7167]	VFDB
HOG248.fa	WP_058870073.1	8.83e-09	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2491.fa	WP_000650776.1	3.19e-52	fig|680646.3.peg.575|RMDY18_06650|VBIRotMuc152186_0575|	Two component system response regulator MtrA   [Rothia mucilaginosa DY-18 | 680646.3]	PATRIC
HOG2496.fa	WP_000653195.1	2.91e-14	fig|470.5054.peg.3265|BQ1898_01309|	T6SS component Hcp   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG249.fa	WP_064096705.1	8.95e-19	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2503.fa	WP_000658883.1	3.87e-55	fig|470.5623.peg.6174|SAMEA104305315_01784|	still frameshift probable component of chemotactic signal transduction system   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG250.fa	WP_005029788.1	2.94e-12	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG251.fa	WP_005019809.1	7.01e-23	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2528.fa	WP_001366550.1	2.07e-13	fig|470.3734.peg.3536|B4S00_02975|	hypothetical protein   [Acinetobacter baumannii strain ABUH526 | 470.3734]	VFDB
HOG2529.fa	WP_000258666.1	2.33e-07	fig|470.3734.peg.3536|B4S00_02975|	hypothetical protein   [Acinetobacter baumannii strain ABUH526 | 470.3734]	VFDB
HOG252.fa	WP_092620785.1	4.07e-08	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2534.fa	WP_000680577.1	3.30e-54	fig|1224163.3.peg.698|B841_03475|VBICorMar256873_0698|	Two component system response regulator MtrA   [Corynebacterium maris DSM 45190 | 1224163.3]	PATRIC
HOG2538.fa	WP_004992723.1	2.28e-11	fig|470.6721.peg.2347|	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain MRSN1966 | 470.6721]	VFDB
HOG253.fa	WP_070070930.1	1.89e-08	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2541.fa	WP_000686128.1	3.54e-10	fig|470.5054.peg.3164|BQ1898_05563|	GDP-mannose 6-dehydrogenase (EC 1.1.1.132)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2542.fa	WP_001175092.1	3.40e-58	fig|470.6998.peg.453|	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG254.fa	WP_087619759.1	7.45e-07	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2552.fa	WP_000695065.1	3.47e-30	fig|470.5054.peg.1503|BQ1898_05453|	Type IV pilus biogenesis protein PilP   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG255.fa	WP_087619237.1	1.36e-19	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG256.fa	WP_092619718.1	3.29e-07	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG257.fa	WP_092620002.1	3.61e-11	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG258.fa	WP_097079527.1	2.05e-27	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2596.fa	WP_092689597.1	0.004	fig|470.5054.peg.3659|BQ1898_02758|	UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG259.fa	WP_087619968.1	3.87e-27	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2609.fa	WP_000713424.1	1.06e-17	fig|470.7268.peg.5073|	Protein FimF (regulates length and adhesion of type 1 fimbriae)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG260.fa	WP_092620165.1	2.13e-29	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2617.fa	WP_000717764.1	3.90e-40	fig|470.5054.peg.1048|BQ1898_05984|	L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis @ Siderophore biosynthesis protein, monooxygenase   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2618.fa	WP_000883669.1	1.59e-45	fig|470.5054.peg.1048|BQ1898_05984|	L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis @ Siderophore biosynthesis protein, monooxygenase   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2619.fa	WP_000717541.1	1.65e-12	fig|470.6998.peg.452|	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG261.fa	WP_070070340.1	3.15e-07	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2620.fa	WP_081401979.1	5.25e-31	fig|470.6998.peg.452|	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG2621.fa	WP_000718059.1	7.38e-99	fig|470.6998.peg.452|	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG2622.fa	WP_020753454.1	1.41e-119	fig|470.6998.peg.452|	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG262.fa	WP_097077726.1	1.42e-15	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG263.fa	WP_097080473.1	1.72e-18	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG264.fa	WP_087618849.1	2.93e-17	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2652.fa	WP_000729758.1	6.31e-42	fig|470.5054.peg.670|BQ1898_05297|	type IV pili signal transduction protein PilI   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2657.fa	WP_000731728.1	0.005	fig|470.7020.peg.4349|	Adhesin of unknown specificity SdrD   [Acinetobacter baumannii strain MRSN7468 | 470.7020]	VFDB
HOG265.fa	WP_087621371.1	2.96e-24	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG266.fa	WP_087621887.1	9.13e-16	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
